Column,DetectedType
booking_date,Datetime
value_date,Datetime
amount,Numeric
currency,Text
type,Text
description,Text
debtor,Text
creditor,Text
signed_amount,Numeric
transaction_type,Text
posting_date,Unknown
vat_date,Unknown
document_type,Text
include_sales_advance_payment_use,Text
advance_doc._type,Text
document_no.,Text
customer_no.,Text
customer_name,Text
open,Text
cost_center,Text
product,Text
currency_code,Text
original_amount,Unknown
amount_(lcy),Unknown
remaining_amount,Unknown
available_advance,Unknown
remaining_amt._(lcy),Unknown
sales_(lcy),Unknown
due_date,Unknown
pmt._discount_date,Unknown
pmt._disc._tolerance_date,Unknown
original_pmt._disc._possible,Unknown
remaining_pmt._disc._possible,Unknown
max._payment_tolerance,Unknown
payment_method_code,Text
company_bank_account_no.,Text
partner_bank_account_no.,Unknown
on_hold,Unknown
entry_no.,Unknown
exported_to_payment_file,Text
message_to_recipient,Unknown
recipient_bank_account,Unknown
ledger_analytic,Unknown
item,Text
employee_code,Unknown
fixed_asset,Unknown
call_off_code,Unknown
counterparty,Text
m-b_transfer_id,Unknown
m-b_applies-to_id,Unknown
order_no.,Text
document_subtype,Text
